file,true,pred,correct
6_4_s.bmp,6,6,1
5_22_s.bmp,5,5,1
14_11_s.bmp,14,14,1
11_29_s.bmp,11,11,1
19_3_s.bmp,19,19,1
8_6_s.bmp,8,8,1
13_18_s.bmp,13,13,1
4_27_s.bmp,4,4,1
9_10_s.bmp,9,1,0
1_20_s.bmp,1,1,1
7_5_s.bmp,7,7,1
3_20_s.bmp,3,3,1
9_26_s.bmp,9,9,1
3_5_s.bmp,3,3,1
12_20_s.bmp,12,12,1
16_2_s.bmp,16,16,1
9_18_s.bmp,9,9,1
7_20_s.bmp,7,7,1
13_25_s.bmp,13,13,1
14_8_s.bmp,14,14,1
19_8_s.bmp,19,19,1
4_10_s.bmp,4,4,1
18_11_s.bmp,18,18,1
16_27_s.bmp,16,16,1
6_29_s.bmp,6,6,1
10_12_s.bmp,10,10,1
13_17_s.bmp,13,13,1
6_20_s.bmp,6,6,1
17_27_s.bmp,17,17,1
4_12_s.bmp,4,4,1
19_12_s.bmp,19,19,1
9_7_s.bmp,9,9,1
1_8_s.bmp,1,1,1
11_28_s.bmp,11,11,1
20_3_s.bmp,20,20,1
4_17_s.bmp,4,4,1
3_19_s.bmp,3,3,1
13_11_s.bmp,13,13,1
2_22_s.bmp,2,2,1
15_8_s.bmp,15,15,1
5_10_s.bmp,5,5,1
19_24_s.bmp,19,19,1
7_11_s.bmp,7,7,1
14_27_s.bmp,14,14,1
1_3_s.bmp,1,1,1
19_25_s.bmp,19,19,1
8_14_s.bmp,8,8,1
10_31_s.bmp,10,10,1
10_28_s.bmp,10,10,1
17_3_s.bmp,17,17,1
11_3_s.bmp,11,11,1
17_8_s.bmp,17,17,1
5_30_s.bmp,5,5,1
3_26_s.bmp,3,3,1
7_28_s.bmp,7,7,1
15_2_s.bmp,15,15,1
10_24_s.bmp,10,10,1
2_13_s.bmp,2,2,1
20_16_s.bmp,20,20,1
8_15_s.bmp,8,8,1
12_25_s.bmp,12,12,1
13_5_s.bmp,13,13,1
4_25_s.bmp,4,4,1
14_2_s.bmp,14,14,1
20_2_s.bmp,20,20,1
15_4_s.bmp,15,15,1
2_4_s.bmp,2,2,1
4_6_s.bmp,4,4,1
15_19_s.bmp,15,15,1
8_28_s.bmp,8,8,1
5_5_s.bmp,5,5,1
12_13_s.bmp,12,12,1
18_12_s.bmp,18,18,1
17_10_s.bmp,17,17,1
1_15_s.bmp,1,1,1
8_3_s.bmp,8,8,1
13_10_s.bmp,13,13,1
16_24_s.bmp,16,16,1
15_14_s.bmp,15,15,1
14_30_s.bmp,14,14,1
16_4_s.bmp,16,16,1
2_26_s.bmp,2,2,1
18_27_s.bmp,18,18,1
19_13_s.bmp,19,19,1
10_6_s.bmp,10,10,1
9_17_s.bmp,9,9,1
8_25_s.bmp,8,8,1
6_5_s.bmp,6,6,1
3_13_s.bmp,3,3,1
17_5_s.bmp,17,17,1
12_27_s.bmp,12,12,1
1_11_s.bmp,1,1,1
2_7_s.bmp,2,2,1
11_22_s.bmp,11,11,1
14_7_s.bmp,14,14,1
12_3_s.bmp,12,12,1
18_22_s.bmp,18,18,1
10_10_s.bmp,10,10,1
18_26_s.bmp,18,18,1
16_5_s.bmp,16,16,1
10_2_s.bmp,10,10,1
7_16_s.bmp,7,7,1
18_20_s.bmp,18,18,1
6_21_s.bmp,6,6,1
5_14_s.bmp,5,5,1
17_19_s.bmp,17,17,1
16_14_s.bmp,16,16,1
6_15_s.bmp,6,6,1
5_12_s.bmp,5,5,1
3_11_s.bmp,3,3,1
11_24_s.bmp,11,11,1
7_25_s.bmp,7,7,1
12_12_s.bmp,12,12,1
20_18_s.bmp,20,18,0
2_18_s.bmp,2,2,1
11_10_s.bmp,11,11,1
1_29_s.bmp,1,9,0
12_6_s.bmp,12,12,1
9_16_s.bmp,9,9,1
